Número da Publicação,Assunto,Região,Estado,Total
GM 03033/2020,UTI,SUDESTE,SP,3360000.00
GM 03033/2020,UTI,SUL,PR,1440000.00
GM 03033/2020,UTI,SUL,RS,1440000.00
GM 03033/2020,UTI,SUL,SC,480000.00
GM 03032/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,430848.00
GM 03031/2020,UTI,CENTRO-OESTE,MT,3360000.00
GM 03030/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA,359040.00
GM 03029/2020,UTI,SUL,PR,672000.00
GM 03028/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,789888.00
GM 03027/2020,UTI,NORTE,AC,960000.00
GM 03027/2020,UTI,NORDESTE,CE,1296000.00
GM 03026/2020,UTI,SUDESTE,MG,480000.00
GM 03025/2020,UTI,NORTE,PA,1728000.00
GM 03025/2020,UTI,NORTE,TO,1440000.00
GM 03025/2020,UTI,NORDESTE,PE,9360000.00
GM 03025/2020,UTI,SUDESTE,SP,2160000.00
GM 03025/2020,UTI,CENTRO-OESTE,GO,5328000.00
GM 03025/2020,UTI,CENTRO-OESTE,MS,720000.00
GM 03024/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,244147.20
GM 03023/2020,UTI,SUDESTE,SP,1200000.00
GM 03005/2020,UTI,SUDESTE,SP,864000.00
GM 03005/2020,UTI,SUL,PR,13824000.00
GM 03004/2020,UTI,SUDESTE,MG,2448000.00
GM 03004/2020,UTI,SUDESTE,SP,480000.00
GM 03004/2020,UTI,SUL,RS,240000.00
GM 03003/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PE,1436160.00
GM 02997/2020,UTI,NORDESTE,BA,2880000.00
GM 02997/2020,UTI,NORDESTE,PE,2592000.00
GM 02997/2020,UTI,SUDESTE,MG,1872000.00
GM 02997/2020,UTI,SUDESTE,RJ,4896000.00
GM 02997/2020,UTI,SUDESTE,SP,14400000.00
GM 02997/2020,UTI,SUL,PR,22320000.00
GM 02997/2020,UTI,SUL,SC,1440000.00
GM 02997/2020,UTI,CENTRO-OESTE,GO,8496000.00
GM 02996/2020,UTI,NORDESTE,CE,480000.00
GM 02996/2020,UTI,SUDESTE,MG,3312000.00
GM 02995/2020,UTI,NORDESTE,RN,480000.00
GM 02995/2020,UTI,SUDESTE,MG,288000.00
GM 02995/2020,UTI,SUDESTE,SP,1056000.00
GM 02993/2020,UTI,SUDESTE,MG,480000.00
GM 02993/2020,UTI,SUL,RS,1536000.00
GM 02992/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO,287232.00
GM 02991/2020,UTI,SUDESTE,SP,720000.00
GM 02949/2020,UTI,NORDESTE,PE,480000.00
GM 02949/2020,UTI,SUDESTE,SP,1200000.00
GM 02948/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,71808.00
GM 02947/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,DF,2010624.00
GM 02946/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,287232.00
GM 02945/2020,UTI,NORDESTE,CE,288000.00
GM 02945/2020,UTI,SUDESTE,ES,960000.00
GM 02945/2020,UTI,SUL,PR,2592000.00
GM 02945/2020,UTI,SUL,RS,240000.00
GM 02945/2020,UTI,CENTRO-OESTE,GO,2880000.00
GM 02944/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,689356.80
GM 02943/2020,UTI,SUDESTE,SP,6240000.00
GM 02943/2020,UTI,CENTRO-OESTE,GO,5136000.00
GM 02913/2020,UTI,NORTE,TO,288000.00
GM 02910/2020,UTI,SUDESTE,SP,1152000.00
GM 02910/2020,UTI,CENTRO-OESTE,GO,2880000.00
GM 02906/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,301593.60
GM 02847/2020,UTI,NORDESTE,BA,1440000.00
GM 02847/2020,UTI,NORDESTE,PE,480000.00
GM 02843/2020,UTI,NORTE,RO,576000.00
GM 02843/2020,UTI,NORTE,TO,816000.00
GM 02843/2020,UTI,SUDESTE,ES,9264000.00
GM 02843/2020,UTI,SUDESTE,MG,1440000.00
GM 02843/2020,UTI,SUL,RS,2400000.00
GM 02842/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,215424.00
GM 02814/2020,UTI,NORTE,RO,3888000.00
GM 02814/2020,UTI,NORDESTE,RN,4320000.00
GM 02814/2020,UTI,SUDESTE,SP,8496000.00
GM 02814/2020,UTI,SUL,RS,11376000.00
GM 02814/2020,UTI,CENTRO-OESTE,MT,10656000.00
GM 02813/2020,UTI,NORDESTE,BA,13248000.00
GM 02813/2020,UTI,NORDESTE,CE,1440000.00
GM 02813/2020,UTI,NORDESTE,MA,3024000.00
GM 02813/2020,UTI,SUDESTE,MG,5616000.00
GM 02813/2020,UTI,CENTRO-OESTE,GO,2880000.00
GM 02813/2020,UTI,CENTRO-OESTE,MS,8064000.00
GM 02812/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,1077120.00
GM 02811/2020,UTI,SUDESTE,SP,-1440000.00
GM 02797/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,RN,86169.60
GM 02796/2020,HPP PARA CUIDADOS PROLONGADOS,NORDESTE,PE,576000.00
GM 02796/2020,HPP PARA CUIDADOS PROLONGADOS,SUDESTE,RJ,558000.00
GM 02796/2020,HPP PARA CUIDADOS PROLONGADOS,SUL,RS,702000.00
GM 02794/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA,344678.40
GM 02793/2020,UTI,SUDESTE,SP,-576000.00
GM 02792/2020,UTI,NORDESTE,PE,2496000.00
GM 02792/2020,UTI,SUDESTE,MG,720000.00
GM 02792/2020,UTI,SUL,RS,9840000.00
GM 02791/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORTE,AM,143616.00
GM 02790/2020,UTI,NORTE,TO,480000.00
GM 02790/2020,UTI,NORDESTE,CE,480000.00
GM 02790/2020,UTI,SUDESTE,ES,480000.00
GM 02790/2020,UTI,SUDESTE,MG,9024000.00
GM 02790/2020,UTI,SUDESTE,SP,384000.00
GM 02790/2020,UTI,SUL,PR,3648000.00
GM 02790/2020,UTI,SUL,SC,4176000.00
GM 02772/2020,UTI,CENTRO-OESTE,MS,240000.00
GM 02771/2020,UTI,NORTE,AC,480000.00
GM 02771/2020,UTI,NORTE,AM,480000.00
GM 02771/2020,UTI,NORDESTE,RN,480000.00
GM 02771/2020,UTI,SUDESTE,MG,960000.00
GM 02771/2020,UTI,SUDESTE,SP,1440000.00
GM 02771/2020,UTI,SUL,PR,1440000.00
GM 02771/2020,UTI,SUL,RS,960000.00
GM 02771/2020,UTI,CENTRO-OESTE,MT,480000.00
GM 02770/2020,UTI,NORTE,TO,1488000.00
GM 02770/2020,UTI,NORDESTE,BA,1488000.00
GM 02770/2020,UTI,NORDESTE,CE,2160000.00
GM 02770/2020,UTI,NORDESTE,MA,480000.00
GM 02770/2020,UTI,NORDESTE,PI,240000.00
GM 02770/2020,UTI,SUDESTE,SP,2400000.00
GM 02770/2020,UTI,CENTRO-OESTE,MS,480000.00
GM 02759/2020,UTI,SUL,PR,9216000.00
GM 02758/2020,UTI,NORTE,RO,240000.00
GM 02758/2020,UTI,NORDESTE,BA,1440000.00
GM 02758/2020,UTI,SUDESTE,MG,384000.00
GM 02758/2020,UTI,SUL,SC,528000.00
GM 02757/2020,UTI,SUDESTE,SP,432000.00
GM 02755/2020,UTI,SUDESTE,SP,624000.00
GM 02754/2020,UTI,NORTE,RO,240000.00
GM 02754/2020,UTI,SUDESTE,MG,1248000.00
GM 02753/2020,UTI,NORTE,AM,4416000.00
GM 02753/2020,UTI,SUL,RS,480000.00
GM 02752/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO,143616.00
GM 02751/2020,UTI,SUL,PR,912000.00
GM 02750/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,201062.40
GM 02749/2020,UTI,SUL,RS,240000.00
GM 02748/2020,UTI,SUDESTE,MG,1584000.00
GM 02747/2020,UTI,SUDESTE,ES,960000.00
GM 02747/2020,UTI,SUDESTE,SP,1728000.00
GM 02747/2020,UTI,SUL,RS,1776000.00
GM 02747/2020,UTI,CENTRO-OESTE,MT,384000.00
GM 02746/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS,258508.80
GM 02745/2020,UTI,CENTRO-OESTE,MS,1440000.00
GM 02744/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,287232.00
GM 02743/2020,UTI,NORTE,RO,480000.00
GM 02743/2020,UTI,NORDESTE,CE,480000.00
GM 02743/2020,UTI,SUDESTE,RJ,1920000.00
GM 02743/2020,UTI,SUDESTE,SP,2400000.00
GM 02743/2020,UTI,CENTRO-OESTE,DF,480000.00
GM 02742/2020,UTI,NORDESTE,BA,1920000.00
GM 02742/2020,UTI,SUDESTE,SP,4320000.00
GM 02742/2020,UTI,SUL,SC,960000.00
GM 02741/2020,UTI,NORDESTE,CE,336000.00
GM 02740/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,359040.00
GM 02739/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA,43084.80
GM 02738/2020,UTI,SUL,SC,17856000.00
GM 02729/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,71808.00
GM 02727/2020,UTI,NORDESTE,PE,480000.00
GM 02727/2020,UTI,SUDESTE,SP,480000.00
GM 02727/2020,UTI,SUL,SC,528000.00
GM 02727/2020,UTI,CENTRO-OESTE,MT,1200000.00
GM 02726/2020,UTI,CENTRO-OESTE,MT,4320000.00
GM 02725/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA,86169.60
GM 02724/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORTE,AM,57446.40
GM 02723/2020,UTI,SUDESTE,SP,6288000.00
GM 02722/2020,UTI,SUDESTE,MG,960000.00
GM 02722/2020,UTI,CENTRO-OESTE,MS,1680000.00
GM 02721/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,MT,86169.60
GM 02720/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,86169.60
GM 02719/2020,UTI,SUL,RS,8640000.00
GM 02718/2020,UTI,SUDESTE,SP,960000.00
GM 02694/2020,UTI,NORTE,PA,720000.00
GM 02694/2020,UTI,NORDESTE,AL,2592000.00
GM 02694/2020,UTI,NORDESTE,BA,13536000.00
GM 02694/2020,UTI,NORDESTE,MA,11520000.00
GM 02694/2020,UTI,CENTRO-OESTE,DF,8640000.00
GM 02690/2020,UTI,SUDESTE,SP,12672000.00
GM 02690/2020,UTI,SUL,PR,6048000.00
GM 02690/2020,UTI,SUL,RS,11232000.00
GM 02690/2020,UTI,SUL,SC,6480000.00
GM 02690/2020,UTI,CENTRO-OESTE,MT,1584000.00
GM 02659/2020,UTI,NORDESTE,PI,2544000.00
GM 02659/2020,UTI,SUL,RS,240000.00
GM 02658/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,MT,287232.00
GM 02657/2020,UTI,SUDESTE,SP,3840000.00
GM 02656/2020,UTI,NORDESTE,PB,1296000.00
GM 02656/2020,UTI,NORDESTE,PE,1440000.00
GM 02655/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,RN,660633.60
GM 02643/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,689356.80
GM 02642/2020,UTI,SUDESTE,MG,480000.00
GM 02641/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,SE,258508.80
GM 02640/2020,UTI,CENTRO-OESTE,GO,6096000.00
GM 02639/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA,143616.00
GM 02612/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,287232.00
GM 02611/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS,330316.80
GM 02609/2020,UTI,NORTE,PA,2592000.00
GM 02609/2020,UTI,NORDESTE,CE,1440000.00
GM 02609/2020,UTI,NORDESTE,PE,10080000.00
GM 02609/2020,UTI,SUDESTE,SP,6912000.00
GM 02608/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,28723.20
GM 02607/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,AL,143616.00
GM 02606/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,71808.00
GM 02605/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,86169.60
GM 02574/2020,PANDEMIA,SUL,RS,70012881.05
GM 02535/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,876057.60
GM 02534/2020,UTI,SUDESTE,SP,9072000.00
GM 02534/2020,UTI,SUL,PR,9120000.00
GM 02534/2020,UTI,SUL,SC,480000.00
GM 02530/2020,UTI,NORDESTE,AL,720000.00
GM 02530/2020,UTI,NORDESTE,PB,4320000.00
GM 02530/2020,UTI,SUDESTE,ES,1440000.00
GM 02530/2020,UTI,SUDESTE,SP,3744000.00
GM 02530/2020,UTI,SUL,RS,3744000.00
GM 02530/2020,UTI,SUL,SC,3600000.00
GM 02530/2020,UTI,CENTRO-OESTE,DF,1440000.00
GM 02530/2020,UTI,CENTRO-OESTE,MT,1872000.00
GM 02528/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,129254.40
GM 02527/2020,UTI,SUDESTE,MG,8208000.00
GM 02527/2020,UTI,SUDESTE,SP,3888000.00
GM 02527/2020,UTI,SUL,RS,720000.00
GM 02527/2020,UTI,CENTRO-OESTE,DF,720000.00
GM 02526/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO,603187.20
GM 02520/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,172339.20
GM 02519/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORTE,AM,28723.20
GM 02483/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PE,2585088.00
GM 02481/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA,172339.20
GM 02480/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,603187.20
GM 02479/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,344678.40
GM 02478/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA,359040.00
GM 02465/2020,UTI,SUDESTE,SP,14256000.00
GM 02460/2020,UTI,SUL,PR,1440000.00
GM 02459/2020,UTI,SUDESTE,MG,1392000.00
GM 02459/2020,UTI,SUDESTE,SP,480000.00
GM 02459/2020,UTI,SUL,SC,1200000.00
GM 02436/2020,UTI,SUDESTE,MG,2736000.00
GM 02436/2020,UTI,SUDESTE,SP,3312000.00
GM 02436/2020,UTI,SUL,PR,1440000.00
GM 02434/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,DF,2470195.20
GM 02433/2020,UTI,NORDESTE,PE,480000.00
GM 02433/2020,UTI,SUDESTE,MG,960000.00
GM 02433/2020,UTI,SUDESTE,SP,0.00
GM 02433/2020,UTI,SUL,PR,432000.00
GM 02433/2020,UTI,SUL,RS,288000.00
GM 02422/2020,UTI,NORDESTE,CE,3936000.00
GM 02421/2020,UTI,NORDESTE,CE,480000.00
GM 02421/2020,UTI,CENTRO-OESTE,DF,480000.00
GM 02420/2020,UTI,SUDESTE,MG,2928000.00
GM 02419/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,502656.00
GM 02418/2020,UTI,SUL,SC,480000.00
GM 02417/2020,UTI,NORDESTE,SE,2880000.00
GM 02416/2020,UTI,NORDESTE,PE,4752000.00
GM 02415/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,287232.00
GM 02414/2020,UTI,SUL,RS,12672000.00
GM 02411/2020,UTI,SUDESTE,SP,4320000.00
GM 02411/2020,UTI,CENTRO-OESTE,GO,5136000.00
GM 02409/2020,UTI,NORTE,AM,5376000.00
GM 02409/2020,UTI,NORDESTE,SE,1152000.00
GM 02409/2020,UTI,SUDESTE,SP,9072000.00
GM 02407/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,430848.00
GM 02406/2020,UTI,NORTE,RO,1440000.00
GM 02406/2020,UTI,SUDESTE,SP,8928000.00
GM 02406/2020,UTI,SUL,SC,2448000.00
GM 02406/2020,UTI,CENTRO-OESTE,MT,720000.00
GM 02401/2020,UTI,NORDESTE,BA,12144000.00
GM 02401/2020,UTI,NORDESTE,PE,4128000.00
GM 02401/2020,UTI,SUDESTE,MG,2448000.00
GM 02401/2020,UTI,SUL,RS,960000.00
GM 02400/2020,UTI,SUDESTE,MG,-2592000.00
GM 02399/2020,UTI,NORDESTE,CE,0.00
GM 02399/2020,UTI,NORDESTE,MA,1440000.00
GM 02399/2020,UTI,SUDESTE,ES,1440000.00
GM 02399/2020,UTI,SUDESTE,MG,5760000.00
GM 02399/2020,UTI,SUDESTE,RJ,864000.00
GM 02399/2020,UTI,SUL,PR,2016000.00
GM 02398/2020,UTI,SUL,RS,5472000.00
GM 02398/2020,UTI,SUL,SC,3600000.00
GM 02398/2020,UTI,CENTRO-OESTE,MT,2304000.00
GM 02379/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,287232.00
GM 02373/2020,UTI,SUDESTE,SP,18576000.00
GM 02372/2020,UTI,NORDESTE,PI,240000.00
GM 02372/2020,UTI,NORDESTE,RN,816000.00
GM 02372/2020,UTI,SUL,SC,1296000.00
GM 02372/2020,UTI,CENTRO-OESTE,MS,2112000.00
GM 02372/2020,UTI,CENTRO-OESTE,MT,384000.00
GM 02371/2020,UTI,NORTE,AC,480000.00
GM 02371/2020,UTI,NORDESTE,BA,1920000.00
GM 02371/2020,UTI,NORDESTE,PE,480000.00
GM 02371/2020,UTI,NORDESTE,RN,480000.00
GM 02371/2020,UTI,SUDESTE,MG,2400000.00
GM 02371/2020,UTI,SUDESTE,RJ,1920000.00
GM 02371/2020,UTI,SUDESTE,SP,3840000.00
GM 02371/2020,UTI,SUL,PR,1440000.00
GM 02371/2020,UTI,SUL,RS,1440000.00
GM 02371/2020,UTI,SUL,SC,960000.00
GM 02371/2020,UTI,CENTRO-OESTE,MS,480000.00
GM 02370/2020,UTI,NORTE,TO,1248000.00
GM 02370/2020,UTI,CENTRO-OESTE,MT,1440000.00
GM 02369/2020,UTI,CENTRO-OESTE,GO,16992000.00
GM 02368/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,SE,947865.60
GM 02367/2020,UTI,SUL,PR,480000.00
GM 02357/2020,UTI,SUDESTE,SP,7776000.00
GM 02356/2020,UTI,CENTRO-OESTE,MT,-144000.00
GM 02351/2020,UTI,NORTE,AM,480000.00
GM 02351/2020,UTI,NORTE,RO,480000.00
GM 02351/2020,UTI,NORDESTE,MA,480000.00
GM 02351/2020,UTI,NORDESTE,PE,480000.00
GM 02351/2020,UTI,NORDESTE,SE,480000.00
GM 02351/2020,UTI,CENTRO-OESTE,GO,960000.00
GM 02351/2020,UTI,CENTRO-OESTE,MT,480000.00
GM 02348/2020,HPP PARA CUIDADOS PROLONGADOS,SUDESTE,MG,20052000.00
GM 02347/2020,UTI,SUDESTE,MG,18720000.00
GM 02341/2020,UTI,NORDESTE,MA,5904000.00
GM 02340/2020,UTI,SUL,SC,3744000.00
GM 02338/2020,UTI,NORDESTE,BA,1296000.00
GM 02337/2020,UTI,CENTRO-OESTE,MS,1440000.00
GM 02336/2020,UTI,SUL,RS,1440000.00
GM 02335/2020,UTI,NORDESTE,SE,1440000.00
GM 02334/2020,UTI,NORDESTE,CE,4176000.00
GM 02333/2020,UTI,SUL,RS,6672000.00
GM 02332/2020,UTI,NORDESTE,BA,768000.00
GM 02332/2020,UTI,NORDESTE,CE,720000.00
GM 02331/2020,UTI,SUL,SC,720000.00
GM 02330/2020,UTI,CENTRO-OESTE,MT,5040000.00
GM 02313/2020,UTI,NORTE,AM,720000.00
GM 02290/2020,UTI,CENTRO-OESTE,MS,1680000.00
GM 02289/2020,UTI,SUL,PR,12432000.00
GM 02288/2020,UTI,NORDESTE,CE,1440000.00
GM 02287/2020,UTI,NORDESTE,PI,288000.00
GM 02286/2020,UTI,SUDESTE,MG,720000.00
GM 02285/2020,UTI,SUL,RS,1728000.00
GM 02284/2020,UTI,NORDESTE,BA,7200000.00
GM 02283/2020,UTI,NORDESTE,SE,6624000.00
GM 02281/2020,UTI,SUDESTE,ES,3696000.00
GM 02279/2020,UTI,SUL,PR,6048000.00
GM 02278/2020,UTI,SUDESTE,SP,6768000.00
GM 02276/2020,UTI,SUDESTE,SP,43584000.00
GM 02275/2020,UTI,CENTRO-OESTE,MS,2160000.00
GM 02274/2020,UTI,CENTRO-OESTE,MT,13680000.00
GM 02273/2020,UTI,CENTRO-OESTE,DF,4560000.00
GM 02272/2020,UTI,NORDESTE,BA,240000.00
GM 02271/2020,UTI,SUDESTE,SP,12096000.00
GM 02270/2020,UTI,NORDESTE,AL,1008000.00
GM 02258/2020,UTI,NORDESTE,PE,-1440000.00
GM 02225/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,962227.20
GM 02220/2020,UTI,NORDESTE,PI,-1440000.00
GM 02218/2020,UTI,NORTE,TO,480000.00
GM 02218/2020,UTI,NORDESTE,AL,480000.00
GM 02218/2020,UTI,NORDESTE,BA,1968000.00
GM 02218/2020,UTI,SUDESTE,SP,480000.00
GM 02218/2020,UTI,SUL,PR,6192000.00
GM 02218/2020,UTI,SUL,RS,3456000.00
GM 02218/2020,UTI,SUL,SC,960000.00
GM 02216/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,359040.00
GM 02215/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,DF,287232.00
GM 02214/2020,UTI,NORTE,TO,2880000.00
GM 02213/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,244147.20
GM 02212/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,574464.00
GM 02192/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORTE,AM,258508.80
GM 02191/2020,UTI,SUDESTE,SP,14400000.00
GM 02190/2020,UTI,NORDESTE,PE,4320000.00
GM 02189/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA,502656.00
GM 02180/2020,UTI,NORDESTE,PI,1440000.00
GM 02180/2020,UTI,NORDESTE,SE,2304000.00
GM 02180/2020,UTI,SUDESTE,MG,720000.00
GM 02179/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,703718.40
GM 02178/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA,359040.00
GM 02148/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,157977.60
GM 02147/2020,UTI,NORDESTE,PB,2304000.00
GM 02147/2020,UTI,NORDESTE,RN,1440000.00
GM 02147/2020,UTI,NORDESTE,SE,2880000.00
GM 02147/2020,UTI,SUDESTE,RJ,7920000.00
GM 02147/2020,UTI,SUDESTE,SP,11088000.00
GM 02145/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,86169.60
GM 02136/2020,HPP PARA CUIDADOS PROLONGADOS,SUDESTE,MG,6660000.00
GM 02134/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,272870.40
GM 02104/2020,UTI,SUL,SC,9072000.00
GM 02037/2020,UTI,SUDESTE,SP,1440000.00
GM 02036/2020,UTI,SUDESTE,RJ,480000.00
GM 02036/2020,UTI,SUDESTE,SP,480000.00
GM 02035/2020,UTI,NORTE,RR,1440000.00
GM 02035/2020,UTI,NORDESTE,AL,1440000.00
GM 02035/2020,UTI,NORDESTE,CE,1440000.00
GM 02035/2020,UTI,NORDESTE,PB,1440000.00
GM 02035/2020,UTI,NORDESTE,PI,1440000.00
GM 02032/2020,UTI,NORTE,AM,5376000.00
GM 02032/2020,UTI,NORDESTE,AL,720000.00
GM 02029/2020,UTI,NORDESTE,CE,2880000.00
GM 02026/2020,UTI,CENTRO-OESTE,MS,4752000.00
GM 02022/2020,UTI,NORDESTE,MA,2880000.00
GM 02021/2020,UTI,SUDESTE,MG,16704000.00
GM 02020/2020,HPP PARA CUIDADOS PROLONGADOS,NORDESTE,AL,882000.00
GM 02019/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PE,4021248.00
GM 02015/2020,UTI,SUDESTE,SP,4896000.00
GM 02014/2020,UTI,SUDESTE,SP,16560000.00
GM 02013/2020,HPP PARA CUIDADOS PROLONGADOS,CENTRO-OESTE,MT,4554000.00
GM 02012/2020,HPP PARA CUIDADOS PROLONGADOS,SUL,RS,16650000.00
GM 02011/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,287232.00
GM 01971/2020,UTI,NORTE,AC,480000.00
GM 01971/2020,UTI,NORTE,PA,960000.00
GM 01971/2020,UTI,NORDESTE,BA,1920000.00
GM 01971/2020,UTI,NORDESTE,PE,480000.00
GM 01971/2020,UTI,NORDESTE,RN,480000.00
GM 01971/2020,UTI,SUDESTE,MG,2400000.00
GM 01971/2020,UTI,SUDESTE,RJ,1440000.00
GM 01971/2020,UTI,SUDESTE,SP,3360000.00
GM 01971/2020,UTI,SUL,PR,1440000.00
GM 01971/2020,UTI,SUL,RS,1440000.00
GM 01971/2020,UTI,SUL,SC,960000.00
GM 01971/2020,UTI,CENTRO-OESTE,MS,480000.00
GM 01970/2020,UTI,NORDESTE,BA,1920000.00
GM 01970/2020,UTI,SUDESTE,SP,22560000.00
GM 01970/2020,UTI,CENTRO-OESTE,MS,576000.00
GM 01968/2020,UTI,NORTE,RO,288000.00
GM 01968/2020,UTI,NORDESTE,CE,4800000.00
GM 01968/2020,UTI,NORDESTE,PI,480000.00
GM 01968/2020,UTI,SUL,SC,7728000.00
GM 01964/2020,UTI,NORDESTE,AL,3936000.00
GM 01962/2020,UTI,NORDESTE,SE,672000.00
GM 01962/2020,UTI,CENTRO-OESTE,GO,5136000.00
GM 01960/2020,UTI,NORDESTE,SE,960000.00
GM 01960/2020,UTI,SUDESTE,SP,480000.00
GM 01960/2020,UTI,CENTRO-OESTE,MS,480000.00
GM 01936/2020,UTI,SUDESTE,RJ,6768000.00
GM 01934/2020,UTI,SUDESTE,SP,5616000.00
GM 01919/2020,UTI,NORTE,TO,2448000.00
GM 01918/2020,UTI,NORTE,RO,4896000.00
GM 01909/2021,UTI,SUDESTE,MG,720000.00
GM 01908/2021,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA,86169.60
GM 01908/2021,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,43084.80
GM 01907/2021,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA,14361.60
