Número_da_Publicação,Assunto,Região,Estado, Total 
GM 03157/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA," R$ 359,040.00 "
GM 03143/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI," R$ 43,084.80 "
GM 03142/2020,UTI,NORDESTE,BA," R$ 480,000.00 "
GM 03142/2020,UTI,NORDESTE,CE," R$ 288,000.00 "
GM 03142/2020,UTI,SUDESTE,ES," R$ 9,744,000.00 "
GM 03142/2020,UTI,SUDESTE,MG," R$ 1,344,000.00 "
GM 03142/2020,UTI,SUDESTE,SP," R$ 480,000.00 "
GM 03142/2020,UTI,SUL,SC," R$ 1,920,000.00 "
GM 03142/2020,UTI,CENTRO-OESTE,GO," R$ 4,272,000.00 "
GM 03141/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 459,571.20 "
GM 03140/2020,UTI,SUL,PR,"-R$ 18,000,000.00 "
GM 03139/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA," R$ 71,808.00 "
GM 03138/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS," R$ 129,254.40 "
GM 03137/2020,UTI,NORDESTE,PE," R$ 16,128,000.00 "
GM 03137/2020,UTI,SUDESTE,SP," R$ 3,744,000.00 "
GM 03137/2020,UTI,SUL,PR," R$ 2,880,000.00 "
GM 03137/2020,UTI,SUL,SC," R$ 1,440,000.00 "
GM 03137/2020,UTI,CENTRO-OESTE,MT," R$ 1,440,000.00 "
GM 03136/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,PR," R$ 28,723.20 "
GM 03135/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG," R$ 143,616.00 "
GM 03134/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 430,848.00 "
GM 03133/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,SC," R$ 402,124.80 "
GM 03126/2020,UTI,SUDESTE,MG," R$ 240,000.00 "
GM 03124/2020,UTI,NORTE,PA," R$ 480,000.00 "
GM 03124/2020,UTI,NORTE,RR," R$ 960,000.00 "
GM 03124/2020,UTI,NORDESTE,CE," R$ 960,000.00 "
GM 03124/2020,UTI,SUDESTE,RJ," R$ 672,000.00 "
GM 03124/2020,UTI,SUDESTE,SP," R$ 4,512,000.00 "
GM 03124/2020,UTI,SUL,RS," R$ 480,000.00 "
GM 03124/2020,UTI,SUL,SC," R$ 3,360,000.00 "
GM 03124/2020,UTI,CENTRO-OESTE,DF," R$ 960,000.00 "
GM 03124/2020,UTI,CENTRO-OESTE,MT," R$ 576,000.00 "
GM 03123/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO," R$ 143,616.00 "
GM 03091/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG," R$ 71,808.00 "
GM 03090/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 287,232.00 "
GM 03089/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG," R$ 646,272.00 "
GM 03074/2020,UTI,CENTRO-OESTE,MT,"-R$ 288,000.00 "
GM 03064/2020,UTI,NORTE,RO," R$ 240,000.00 "
GM 03064/2020,UTI,NORDESTE,BA," R$ 960,000.00 "
GM 03064/2020,UTI,NORDESTE,PI," R$ 2,544,000.00 "
GM 03064/2020,UTI,SUDESTE,MG," R$ 1,200,000.00 "
GM 03063/2020,UTI,NORDESTE,CE," R$ 480,000.00 "
GM 03063/2020,UTI,SUDESTE,SP," R$ 5,808,000.00 "
GM 03063/2020,UTI,SUL,RS," R$ 5,184,000.00 "
GM 03063/2020,UTI,SUL,SC," R$ 288,000.00 "
GM 03062/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 588,825.60 "
GM 03061/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 373,401.60 "
GM 03060/2020,UTI,NORDESTE,BA," R$ 528,000.00 "
GM 03060/2020,UTI,NORDESTE,CE," R$ 816,000.00 "
GM 03060/2020,UTI,SUDESTE,SP," R$ 720,000.00 "
GM 03060/2020,UTI,SUL,RS," R$ 1,824,000.00 "
GM 03060/2020,UTI,CENTRO-OESTE,MS," R$ 960,000.00 "
GM 03059/2020,UTI,NORDESTE,PI," R$ 480,000.00 "
GM 03059/2020,UTI,NORDESTE,RN," R$ 528,000.00 "
GM 03059/2020,UTI,SUDESTE,MG," R$ 1,632,000.00 "
GM 03059/2020,UTI,SUDESTE,SP," R$ 6,912,000.00 "
GM 03059/2020,UTI,SUL,RS," R$ 240,000.00 "
GM 03059/2020,UTI,CENTRO-OESTE,GO," R$ 384,000.00 "
GM 03051/2020,UTI,NORDESTE,CE," R$ 960,000.00 "
GM 03051/2020,UTI,SUL,SC," R$ 720,000.00 "
GM 03040/2020,UTI,NORTE,AM," R$ 480,000.00 "
GM 03040/2020,UTI,NORDESTE,MA," R$ 480,000.00 "
GM 03040/2020,UTI,SUDESTE,ES," R$ 960,000.00 "
GM 03040/2020,UTI,CENTRO-OESTE,DF," R$ 480,000.00 "
GM 03040/2020,UTI,CENTRO-OESTE,GO," R$ 960,000.00 "
GM 03039/2020,UTI,SUDESTE,MG," R$ 1,104,000.00 "
GM 03039/2020,UTI,SUL,RS," R$ 240,000.00 "
GM 03038/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 03038/2020,UTI,SUDESTE,SP," R$ 2,784,000.00 "
GM 03038/2020,UTI,CENTRO-OESTE,MT," R$ 480,000.00 "
GM 03037/2020,UTI,NORTE,AM," R$ 4,416,000.00 "
GM 03036/2020,UTI,SUDESTE,MG," R$ 480,000.00 "
GM 03036/2020,UTI,SUDESTE,SP," R$ 624,000.00 "
GM 03036/2020,UTI,SUL,PR," R$ 480,000.00 "
GM 03035/2020,UTI,NORDESTE,BA," R$ 1,872,000.00 "
GM 03035/2020,UTI,NORDESTE,RN," R$ 144,000.00 "
GM 03035/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 03035/2020,UTI,SUDESTE,SP," R$ 240,000.00 "
GM 03034/2020,UTI,SUDESTE,MG," R$ 1,296,000.00 "
GM 03034/2020,UTI,SUL,SC," R$ 432,000.00 "
GM 03033/2020,UTI,NORTE,AC," R$ 480,000.00 "
GM 03033/2020,UTI,NORDESTE,BA," R$ 1,920,000.00 "
GM 03033/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 03033/2020,UTI,SUDESTE,RJ," R$ 1,920,000.00 "
GM 03033/2020,UTI,SUDESTE,SP," R$ 3,360,000.00 "
GM 03033/2020,UTI,SUL,PR," R$ 1,440,000.00 "
GM 03033/2020,UTI,SUL,RS," R$ 1,440,000.00 "
GM 03033/2020,UTI,SUL,SC," R$ 480,000.00 "
GM 03032/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 430,848.00 "
GM 03031/2020,UTI,CENTRO-OESTE,MT," R$ 3,360,000.00 "
GM 03030/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA," R$ 359,040.00 "
GM 03029/2020,UTI,SUL,PR," R$ 672,000.00 "
GM 03028/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 789,888.00 "
GM 03027/2020,UTI,NORTE,AC," R$ 960,000.00 "
GM 03027/2020,UTI,NORDESTE,CE," R$ 1,296,000.00 "
GM 03026/2020,UTI,SUDESTE,MG," R$ 480,000.00 "
GM 03025/2020,UTI,NORTE,PA," R$ 1,728,000.00 "
GM 03025/2020,UTI,NORTE,TO," R$ 1,440,000.00 "
GM 03025/2020,UTI,NORDESTE,PE," R$ 9,360,000.00 "
GM 03025/2020,UTI,SUDESTE,SP," R$ 2,160,000.00 "
GM 03025/2020,UTI,CENTRO-OESTE,GO," R$ 5,328,000.00 "
GM 03025/2020,UTI,CENTRO-OESTE,MS," R$ 720,000.00 "
GM 03024/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 244,147.20 "
GM 03023/2020,UTI,SUDESTE,SP," R$ 1,200,000.00 "
GM 03005/2020,UTI,SUDESTE,SP," R$ 864,000.00 "
GM 03005/2020,UTI,SUL,PR," R$ 13,824,000.00 "
GM 03004/2020,UTI,SUDESTE,MG," R$ 2,448,000.00 "
GM 03004/2020,UTI,SUDESTE,SP," R$ 480,000.00 "
GM 03004/2020,UTI,SUL,RS," R$ 240,000.00 "
GM 03003/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PE," R$ 1,436,160.00 "
GM 02997/2020,UTI,NORDESTE,BA," R$ 2,880,000.00 "
GM 02997/2020,UTI,NORDESTE,PE," R$ 2,592,000.00 "
GM 02997/2020,UTI,SUDESTE,MG," R$ 1,872,000.00 "
GM 02997/2020,UTI,SUDESTE,RJ," R$ 4,896,000.00 "
GM 02997/2020,UTI,SUDESTE,SP," R$ 14,400,000.00 "
GM 02997/2020,UTI,SUL,PR," R$ 22,320,000.00 "
GM 02997/2020,UTI,SUL,SC," R$ 1,440,000.00 "
GM 02997/2020,UTI,CENTRO-OESTE,GO," R$ 8,496,000.00 "
GM 02996/2020,UTI,NORDESTE,CE," R$ 480,000.00 "
GM 02996/2020,UTI,SUDESTE,MG," R$ 3,312,000.00 "
GM 02995/2020,UTI,NORDESTE,RN," R$ 480,000.00 "
GM 02995/2020,UTI,SUDESTE,MG," R$ 288,000.00 "
GM 02995/2020,UTI,SUDESTE,SP," R$ 1,056,000.00 "
GM 02993/2020,UTI,SUDESTE,MG," R$ 480,000.00 "
GM 02993/2020,UTI,SUL,RS," R$ 1,536,000.00 "
GM 02992/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO," R$ 287,232.00 "
GM 02991/2020,UTI,SUDESTE,SP," R$ 720,000.00 "
GM 02949/2020,UTI,NORDESTE,PE," R$ 480,000.00 "
GM 02949/2020,UTI,SUDESTE,SP," R$ 1,200,000.00 "
GM 02948/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 71,808.00 "
GM 02947/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,DF," R$ 2,010,624.00 "
GM 02946/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 287,232.00 "
GM 02945/2020,UTI,NORDESTE,CE," R$ 288,000.00 "
GM 02945/2020,UTI,SUDESTE,ES," R$ 960,000.00 "
GM 02945/2020,UTI,SUL,PR," R$ 2,592,000.00 "
GM 02945/2020,UTI,SUL,RS," R$ 240,000.00 "
GM 02945/2020,UTI,CENTRO-OESTE,GO," R$ 2,880,000.00 "
GM 02944/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG," R$ 689,356.80 "
GM 02943/2020,UTI,SUDESTE,SP," R$ 6,240,000.00 "
GM 02943/2020,UTI,CENTRO-OESTE,GO," R$ 5,136,000.00 "
GM 02913/2020,UTI,NORTE,TO," R$ 288,000.00 "
GM 02910/2020,UTI,SUDESTE,SP," R$ 1,152,000.00 "
GM 02910/2020,UTI,CENTRO-OESTE,GO," R$ 2,880,000.00 "
GM 02906/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 301,593.60 "
GM 02847/2020,UTI,NORDESTE,BA," R$ 1,440,000.00 "
GM 02847/2020,UTI,NORDESTE,PE," R$ 480,000.00 "
GM 02843/2020,UTI,NORTE,RO," R$ 576,000.00 "
GM 02843/2020,UTI,NORTE,TO," R$ 816,000.00 "
GM 02843/2020,UTI,SUDESTE,ES," R$ 9,264,000.00 "
GM 02843/2020,UTI,SUDESTE,MG," R$ 1,440,000.00 "
GM 02843/2020,UTI,SUL,RS," R$ 2,400,000.00 "
GM 02842/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG," R$ 215,424.00 "
GM 02814/2020,UTI,NORTE,RO," R$ 3,888,000.00 "
GM 02814/2020,UTI,NORDESTE,RN," R$ 4,320,000.00 "
GM 02814/2020,UTI,SUDESTE,SP," R$ 8,496,000.00 "
GM 02814/2020,UTI,SUL,RS," R$ 11,376,000.00 "
GM 02814/2020,UTI,CENTRO-OESTE,MT," R$ 10,656,000.00 "
GM 02813/2020,UTI,NORDESTE,BA," R$ 13,248,000.00 "
GM 02813/2020,UTI,NORDESTE,CE," R$ 1,440,000.00 "
GM 02813/2020,UTI,NORDESTE,MA," R$ 3,024,000.00 "
GM 02813/2020,UTI,SUDESTE,MG," R$ 5,616,000.00 "
GM 02813/2020,UTI,CENTRO-OESTE,GO," R$ 2,880,000.00 "
GM 02813/2020,UTI,CENTRO-OESTE,MS," R$ 8,064,000.00 "
GM 02812/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 1,077,120.00 "
GM 02811/2020,UTI,SUDESTE,SP,"-R$ 1,440,000.00 "
GM 02797/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,RN," R$ 86,169.60 "
GM 02796/2020,HPP PARA CUIDADOS PROLONGADOS,NORDESTE,PE," R$ 576,000.00 "
GM 02796/2020,HPP PARA CUIDADOS PROLONGADOS,SUDESTE,RJ," R$ 558,000.00 "
GM 02796/2020,HPP PARA CUIDADOS PROLONGADOS,SUL,RS," R$ 702,000.00 "
GM 02794/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA," R$ 344,678.40 "
GM 02793/2020,UTI,SUDESTE,SP,"-R$ 576,000.00 "
GM 02792/2020,UTI,NORDESTE,PE," R$ 2,496,000.00 "
GM 02792/2020,UTI,SUDESTE,MG," R$ 720,000.00 "
GM 02792/2020,UTI,SUL,RS," R$ 9,840,000.00 "
GM 02791/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORTE,AM," R$ 143,616.00 "
GM 02790/2020,UTI,NORTE,TO," R$ 480,000.00 "
GM 02790/2020,UTI,NORDESTE,CE," R$ 480,000.00 "
GM 02790/2020,UTI,SUDESTE,ES," R$ 480,000.00 "
GM 02790/2020,UTI,SUDESTE,MG," R$ 9,024,000.00 "
GM 02790/2020,UTI,SUDESTE,SP," R$ 384,000.00 "
GM 02790/2020,UTI,SUL,PR," R$ 3,648,000.00 "
GM 02790/2020,UTI,SUL,SC," R$ 4,176,000.00 "
GM 02772/2020,UTI,CENTRO-OESTE,MS," R$ 240,000.00 "
GM 02771/2020,UTI,NORTE,AC," R$ 480,000.00 "
GM 02771/2020,UTI,NORTE,AM," R$ 480,000.00 "
GM 02771/2020,UTI,NORDESTE,RN," R$ 480,000.00 "
GM 02771/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 02771/2020,UTI,SUDESTE,SP," R$ 1,440,000.00 "
GM 02771/2020,UTI,SUL,PR," R$ 1,440,000.00 "
GM 02771/2020,UTI,SUL,RS," R$ 960,000.00 "
GM 02771/2020,UTI,CENTRO-OESTE,MT," R$ 480,000.00 "
GM 02770/2020,UTI,NORTE,TO," R$ 1,488,000.00 "
GM 02770/2020,UTI,NORDESTE,BA," R$ 1,488,000.00 "
GM 02770/2020,UTI,NORDESTE,CE," R$ 2,160,000.00 "
GM 02770/2020,UTI,NORDESTE,MA," R$ 480,000.00 "
GM 02770/2020,UTI,NORDESTE,PI," R$ 240,000.00 "
GM 02770/2020,UTI,SUDESTE,SP," R$ 2,400,000.00 "
GM 02770/2020,UTI,CENTRO-OESTE,MS," R$ 480,000.00 "
GM 02759/2020,UTI,SUL,PR," R$ 9,216,000.00 "
GM 02758/2020,UTI,NORTE,RO," R$ 240,000.00 "
GM 02758/2020,UTI,NORDESTE,BA," R$ 1,440,000.00 "
GM 02758/2020,UTI,SUDESTE,MG," R$ 384,000.00 "
GM 02758/2020,UTI,SUL,SC," R$ 528,000.00 "
GM 02757/2020,UTI,SUDESTE,SP," R$ 432,000.00 "
GM 02755/2020,UTI,SUDESTE,SP," R$ 624,000.00 "
GM 02754/2020,UTI,NORTE,RO," R$ 240,000.00 "
GM 02754/2020,UTI,SUDESTE,MG," R$ 1,248,000.00 "
GM 02753/2020,UTI,NORTE,AM," R$ 4,416,000.00 "
GM 02753/2020,UTI,SUL,RS," R$ 480,000.00 "
GM 02752/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO," R$ 143,616.00 "
GM 02751/2020,UTI,SUL,PR," R$ 912,000.00 "
GM 02750/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI," R$ 201,062.40 "
GM 02749/2020,UTI,SUL,RS," R$ 240,000.00 "
GM 02748/2020,UTI,SUDESTE,MG," R$ 1,584,000.00 "
GM 02747/2020,UTI,SUDESTE,ES," R$ 960,000.00 "
GM 02747/2020,UTI,SUDESTE,SP," R$ 1,728,000.00 "
GM 02747/2020,UTI,SUL,RS," R$ 1,776,000.00 "
GM 02747/2020,UTI,CENTRO-OESTE,MT," R$ 384,000.00 "
GM 02746/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS," R$ 258,508.80 "
GM 02745/2020,UTI,CENTRO-OESTE,MS," R$ 1,440,000.00 "
GM 02744/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 287,232.00 "
GM 02743/2020,UTI,NORTE,RO," R$ 480,000.00 "
GM 02743/2020,UTI,NORDESTE,CE," R$ 480,000.00 "
GM 02743/2020,UTI,SUDESTE,RJ," R$ 1,920,000.00 "
GM 02743/2020,UTI,SUDESTE,SP," R$ 2,400,000.00 "
GM 02743/2020,UTI,CENTRO-OESTE,DF," R$ 480,000.00 "
GM 02742/2020,UTI,NORDESTE,BA," R$ 1,920,000.00 "
GM 02742/2020,UTI,SUDESTE,SP," R$ 4,320,000.00 "
GM 02742/2020,UTI,SUL,SC," R$ 960,000.00 "
GM 02741/2020,UTI,NORDESTE,CE," R$ 336,000.00 "
GM 02740/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 359,040.00 "
GM 02739/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA," R$ 43,084.80 "
GM 02738/2020,UTI,SUL,SC," R$ 17,856,000.00 "
GM 02729/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG," R$ 71,808.00 "
GM 02727/2020,UTI,NORDESTE,PE," R$ 480,000.00 "
GM 02727/2020,UTI,SUDESTE,SP," R$ 480,000.00 "
GM 02727/2020,UTI,SUL,SC," R$ 528,000.00 "
GM 02727/2020,UTI,CENTRO-OESTE,MT," R$ 1,200,000.00 "
GM 02726/2020,UTI,CENTRO-OESTE,MT," R$ 4,320,000.00 "
GM 02725/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA," R$ 86,169.60 "
GM 02724/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORTE,AM," R$ 57,446.40 "
GM 02723/2020,UTI,SUDESTE,SP," R$ 6,288,000.00 "
GM 02722/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 02722/2020,UTI,CENTRO-OESTE,MS," R$ 1,680,000.00 "
GM 02721/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,MT," R$ 86,169.60 "
GM 02720/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI," R$ 86,169.60 "
GM 02719/2020,UTI,SUL,RS," R$ 8,640,000.00 "
GM 02718/2020,UTI,SUDESTE,SP," R$ 960,000.00 "
GM 02694/2020,UTI,NORTE,PA," R$ 720,000.00 "
GM 02694/2020,UTI,NORDESTE,AL," R$ 2,592,000.00 "
GM 02694/2020,UTI,NORDESTE,BA," R$ 13,536,000.00 "
GM 02694/2020,UTI,NORDESTE,MA," R$ 11,520,000.00 "
GM 02694/2020,UTI,CENTRO-OESTE,DF," R$ 8,640,000.00 "
GM 02690/2020,UTI,SUDESTE,SP," R$ 12,672,000.00 "
GM 02690/2020,UTI,SUL,PR," R$ 6,048,000.00 "
GM 02690/2020,UTI,SUL,RS," R$ 11,232,000.00 "
GM 02690/2020,UTI,SUL,SC," R$ 6,480,000.00 "
GM 02690/2020,UTI,CENTRO-OESTE,MT," R$ 1,584,000.00 "
GM 02659/2020,UTI,NORDESTE,PI," R$ 2,544,000.00 "
GM 02659/2020,UTI,SUL,RS," R$ 240,000.00 "
GM 02658/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,MT," R$ 287,232.00 "
GM 02657/2020,UTI,SUDESTE,SP," R$ 3,840,000.00 "
GM 02656/2020,UTI,NORDESTE,PB," R$ 1,296,000.00 "
GM 02656/2020,UTI,NORDESTE,PE," R$ 1,440,000.00 "
GM 02655/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,RN," R$ 660,633.60 "
GM 02643/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG," R$ 689,356.80 "
GM 02642/2020,UTI,SUDESTE,MG," R$ 480,000.00 "
GM 02641/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,SE," R$ 258,508.80 "
GM 02640/2020,UTI,CENTRO-OESTE,GO," R$ 6,096,000.00 "
GM 02639/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA," R$ 143,616.00 "
GM 02612/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 287,232.00 "
GM 02611/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS," R$ 330,316.80 "
GM 02609/2020,UTI,NORTE,PA," R$ 2,592,000.00 "
GM 02609/2020,UTI,NORDESTE,CE," R$ 1,440,000.00 "
GM 02609/2020,UTI,NORDESTE,PE," R$ 10,080,000.00 "
GM 02609/2020,UTI,SUDESTE,SP," R$ 6,912,000.00 "
GM 02608/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI," R$ 28,723.20 "
GM 02607/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,AL," R$ 143,616.00 "
GM 02606/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 71,808.00 "
GM 02605/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 86,169.60 "
GM 02574/2020,PANDEMIA,SUL,RS," R$ 70,012,881.05 "
GM 02535/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 876,057.60 "
GM 02534/2020,UTI,SUDESTE,SP," R$ 9,072,000.00 "
GM 02534/2020,UTI,SUL,PR," R$ 9,120,000.00 "
GM 02534/2020,UTI,SUL,SC," R$ 480,000.00 "
GM 02530/2020,UTI,NORDESTE,AL," R$ 720,000.00 "
GM 02530/2020,UTI,NORDESTE,PB," R$ 4,320,000.00 "
GM 02530/2020,UTI,SUDESTE,ES," R$ 1,440,000.00 "
GM 02530/2020,UTI,SUDESTE,SP," R$ 3,744,000.00 "
GM 02530/2020,UTI,SUL,RS," R$ 3,744,000.00 "
GM 02530/2020,UTI,SUL,SC," R$ 3,600,000.00 "
GM 02530/2020,UTI,CENTRO-OESTE,DF," R$ 1,440,000.00 "
GM 02530/2020,UTI,CENTRO-OESTE,MT," R$ 1,872,000.00 "
GM 02528/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 129,254.40 "
GM 02527/2020,UTI,SUDESTE,MG," R$ 8,208,000.00 "
GM 02527/2020,UTI,SUDESTE,SP," R$ 3,888,000.00 "
GM 02527/2020,UTI,SUL,RS," R$ 720,000.00 "
GM 02527/2020,UTI,CENTRO-OESTE,DF," R$ 720,000.00 "
GM 02526/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO," R$ 603,187.20 "
GM 02520/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 172,339.20 "
GM 02519/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORTE,AM," R$ 28,723.20 "
GM 02483/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PE," R$ 2,585,088.00 "
GM 02481/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA," R$ 172,339.20 "
GM 02480/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 603,187.20 "
GM 02479/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 344,678.40 "
GM 02478/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA," R$ 359,040.00 "
GM 02465/2020,UTI,SUDESTE,SP," R$ 14,256,000.00 "
GM 02460/2020,UTI,SUL,PR," R$ 1,440,000.00 "
GM 02459/2020,UTI,SUDESTE,MG," R$ 1,392,000.00 "
GM 02459/2020,UTI,SUDESTE,SP," R$ 480,000.00 "
GM 02459/2020,UTI,SUL,SC," R$ 1,200,000.00 "
GM 02436/2020,UTI,SUDESTE,MG," R$ 2,736,000.00 "
GM 02436/2020,UTI,SUDESTE,SP," R$ 3,312,000.00 "
GM 02436/2020,UTI,SUL,PR," R$ 1,440,000.00 "
GM 02434/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,DF," R$ 2,470,195.20 "
GM 02433/2020,UTI,NORDESTE,PE," R$ 480,000.00 "
GM 02433/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 02433/2020,UTI,SUDESTE,SP, R$ -   
GM 02433/2020,UTI,SUL,PR," R$ 432,000.00 "
GM 02433/2020,UTI,SUL,RS," R$ 288,000.00 "
GM 02422/2020,UTI,NORDESTE,CE," R$ 3,936,000.00 "
GM 02421/2020,UTI,NORDESTE,CE," R$ 480,000.00 "
GM 02421/2020,UTI,CENTRO-OESTE,DF," R$ 480,000.00 "
GM 02420/2020,UTI,SUDESTE,MG," R$ 2,928,000.00 "
GM 02419/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 502,656.00 "
GM 02418/2020,UTI,SUL,SC," R$ 480,000.00 "
GM 02417/2020,UTI,NORDESTE,SE," R$ 2,880,000.00 "
GM 02416/2020,UTI,NORDESTE,PE," R$ 4,752,000.00 "
GM 02415/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 287,232.00 "
GM 02414/2020,UTI,SUL,RS," R$ 12,672,000.00 "
GM 02411/2020,UTI,SUDESTE,SP," R$ 4,320,000.00 "
GM 02411/2020,UTI,CENTRO-OESTE,GO," R$ 5,136,000.00 "
GM 02409/2020,UTI,NORTE,AM," R$ 5,376,000.00 "
GM 02409/2020,UTI,NORDESTE,SE," R$ 1,152,000.00 "
GM 02409/2020,UTI,SUDESTE,SP," R$ 9,072,000.00 "
GM 02407/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 430,848.00 "
GM 02406/2020,UTI,NORTE,RO," R$ 1,440,000.00 "
GM 02406/2020,UTI,SUDESTE,SP," R$ 8,928,000.00 "
GM 02406/2020,UTI,SUL,SC," R$ 2,448,000.00 "
GM 02406/2020,UTI,CENTRO-OESTE,MT," R$ 720,000.00 "
GM 02401/2020,UTI,NORDESTE,BA," R$ 12,144,000.00 "
GM 02401/2020,UTI,NORDESTE,PE," R$ 4,128,000.00 "
